OBJECTID,Identificador de la manzana catastral,Clase de predio predominante,Grupo económico predominante,Avalúo catastral por manzana ($),Observación,GLOBALID,coord_x,coord_y
4046,006106003,N,INDUSTRIA,1275000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{65285257-1504-43B7-B72B-EC607F321510},"-74,08317372936807","4,6104446864243345"
4056,006103032,N,RESIDENCIAL,871328,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{866FAB2B-5E7C-48B9-832D-91EFF4181112},"-74,07783610868313","4,614990921391551"
4065,003109005,N,COMERCIO,2423023,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{7C0BF195-10EE-4487-92D3-FB52839FF857},"-74,07578922989319","4,60264489008062"
4078,006209071,N,RESIDENCIAL,1761270,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{783D5764-866A-4D9A-BC7B-5646B04DD216},"-74,09622638198356","4,636169838193892"
4103,006204011,N,INDUSTRIA,1217864,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{6D0A4A72-4543-4E3E-AE97-BD9F2C2D583B},"-74,09238220027974","4,617277190077165"
4106,006204016,N,INDUSTRIA,1465792,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{7CE2DEAE-8C51-4ED8-AE2D-8ACAF03D07AB},"-74,09234990105168","4,619667696552543"
4135,003110014,N,OFICINAS,2865757,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{05D64D85-869C-4A14-852B-A143E4463F2F},"-74,0733448590612","4,600950893694605"
4136,003110015,N,UNIVERSIDADES Y COLEGIOS,1668386,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{461422F9-95C7-4F8C-96F7-C64533428C01},"-74,073553340522","4,600139823784109"
4139,006204020,N,INDUSTRIA,1456144,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{ADD7B9FD-6D07-4922-8BC6-C4F46BB39271},"-74,09431347748338","4,617475277982936"
4148,006103006,N,OFICINAS,1719233,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{57A93A25-5A97-40C8-AF16-C1AED4087E3C},"-74,07561035320225","4,610513272863064"
4185,006307013,N,INDUSTRIA,1471645,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{0B89999B-6787-4E56-A035-99BAE1433817},"-74,12244959469359","4,644195519996371"
